GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,HC02,HC04,HC05,HC06,HC08,HC09
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographical Area,Geographical Area,Population,Housing  units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing  units
8500000US900,900,ZCTA3 900,8600000US90033,90033,ZCTA 900 - ZCTA 90033,ZCTA 90033,49418,13206,3.13,0.01,3.12,15830.5,4230.4
8500000US900,900,ZCTA3 900,8600000US90034,90034,ZCTA 900 - ZCTA 90034,ZCTA 90034,58199,26656,3.09,0.00,3.09,18836.8,8627.5
8500000US900,900,ZCTA3 900,8600000US90035,90035,ZCTA 900 - ZCTA 90035,ZCTA 90035,27792,13363,2.08,0.00,2.08,13393.7,6440.0
8500000US900,900,ZCTA3 900,8600000US90036,90036,ZCTA 900 - ZCTA 90036,ZCTA 90036,32885,17961,2.49,0.00,2.49,13180.5,7198.9
8500000US900,900,ZCTA3 900,8600000US90037,90037,ZCTA 900 - ZCTA 90037,ZCTA 90037,56691,16639,2.82,0.00,2.82,20134.5,5909.6
8500000US900,900,ZCTA3 900,8600000US90038,90038,ZCTA 900 - ZCTA 90038,ZCTA 90038,32557,12591,1.54,0.00,1.54,21092.1,8157.1
8500000US900,900,ZCTA3 900,8600000US90039,90039,ZCTA 900 - ZCTA 90039,ZCTA 90039,29306,11933,4.32,0.26,4.07,7204.4,2933.5
8500000US900,900,ZCTA3 900,8600000US90040,90040,ZCTA 900 - ZCTA 90040,ZCTA 90040,9798,2737,5.64,0.00,5.64,1738.1,485.5
8500000US900,900,ZCTA3 900,8600000US90041,90041,ZCTA 900 - ZCTA 90041,ZCTA 90041,27864,9691,3.59,0.01,3.58,7790.2,2709.4
8500000US900,900,ZCTA3 900,8600000US90042,90042,ZCTA 900 - ZCTA 90042,ZCTA 90042,64660,20697,4.63,0.00,4.62,13989.1,4477.8
8500000US900,900,ZCTA3 900,8600000US90043,90043,ZCTA 900 - ZCTA 90043,ZCTA 90043,44761,16969,4.10,0.00,4.10,10905.7,4134.4
8500000US900,900,ZCTA3 900,8600000US90044,90044,ZCTA 900 - ZCTA 90044,ZCTA 90044,87366,26977,5.16,0.00,5.16,16946.3,5232.7
8500000US900,900,ZCTA3 900,8600000US90045,90045,ZCTA 900 - ZCTA 90045,ZCTA 90045,39315,16110,10.81,0.00,10.81,3636.4,1490.1
8500000US900,900,ZCTA3 900,8600000US90046,90046,ZCTA 900 - ZCTA 90046,ZCTA 90046,49831,29759,5.48,0.00,5.48,9093.9,5430.9
8500000US900,900,ZCTA3 900,8600000US90047,90047,ZCTA 900 - ZCTA 90047,ZCTA 90047,47105,16686,4.42,0.00,4.42,10667.3,3778.7
8500000US900,900,ZCTA3 900,8600000US90048,90048,ZCTA 900 - ZCTA 90048,ZCTA 90048,21724,12581,1.92,0.00,1.92,11327.5,6560.1
8500000US900,900,ZCTA3 900,8600000US90049,90049,ZCTA 900 - ZCTA 90049,ZCTA 90049,33520,17277,15.81,0.00,15.81,2120.4,1092.9
8500000US900,900,ZCTA3 900,8600000US90056,90056,ZCTA 900 - ZCTA 90056,ZCTA 90056,8108,3517,1.59,0.00,1.59,5105.6,2214.6
8500000US900,900,ZCTA3 900,8600000US90057,90057,ZCTA 900 - ZCTA 90057,ZCTA 90057,43986,15627,0.89,0.01,0.88,49830.1,17703.2
8500000US900,900,ZCTA3 900,8600000US90058,90058,ZCTA 900 - ZCTA 90058,ZCTA 90058,3624,1000,4.29,0.00,4.29,844.7,233.1
8500000US900,900,ZCTA3 900,8600000US90059,90059,ZCTA 900 - ZCTA 90059,ZCTA 90059,38123,10112,3.25,0.00,3.25,11712.9,3106.8
8500000US900,900,ZCTA3 900,8600000US90061,90061,ZCTA 900 - ZCTA 90061,ZCTA 90061,24503,6849,2.64,0.00,2.64,9274.1,2592.3
8500000US900,900,ZCTA3 900,8600000US90062,90062,ZCTA 900 - ZCTA 90062,ZCTA 90062,29279,9612,1.93,0.00,1.93,15134.8,4968.6
8500000US900,900,ZCTA3 900,8600000US90063,90063,ZCTA 900 - ZCTA 90063,ZCTA 90063,55666,13743,3.56,0.00,3.56,15615.2,3855.1
8500000US900,900,ZCTA3 900,8600000US90064,90064,ZCTA 900 - ZCTA 90064,ZCTA 90064,24489,11216,4.01,0.00,4.01,6109.3,2798.1
8500000US900,900,ZCTA3 900,8600000US90065,90065,ZCTA 900 - ZCTA 90065,ZCTA 90065,47524,15105,4.98,0.00,4.98,9547.0,3034.4
8500000US900,900,ZCTA3 900,8600000US90066,90066,ZCTA 900 - ZCTA 90066,ZCTA 90066,55194,23748,4.85,0.01,4.84,11396.0,4903.3
8500000US900,900,ZCTA3 900,8600000US90067,90067,ZCTA 900 - ZCTA 90067,ZCTA 90067,2524,1724,0.30,0.00,0.30,8283.8,5658.2
8500000US900,900,ZCTA3 900,8600000US90068,90068,ZCTA 900 - ZCTA 90068,ZCTA 90068,21713,13632,8.17,0.13,8.04,2701.3,1696.0
8500000US900,900,ZCTA3 900,8600000US90069,90069,ZCTA 900 - ZCTA 90069,ZCTA 90069,20395,14422,2.12,0.00,2.12,9599.4,6788.1
8500000US900,900,ZCTA3 900,8600000US90071,90071,ZCTA 900 - ZCTA 90071,ZCTA 90071,6,0,0.13,0.00,0.13,47.7,0.0
8500000US900,900,ZCTA3 900,8600000US90077,90077,ZCTA 900 - ZCTA 90077,ZCTA 90077,10465,4415,8.86,0.17,8.69,1203.8,507.8
8500000US900,900,ZCTA3 900,8600000US900HH,900HH,ZCTA 900 - ZCTA 900HH,ZCTA 900HH,0,0,0.38,0.38,0.00,(X),(X)
8500000US902,902,ZCTA3 902,8500000US902,902,ZCTA 902,ZCTA 902,1226546,415101,464.76,177.40,287.35,4268.4,1444.6
8500000US902,902,ZCTA3 902,8600000US90201,90201,ZCTA 902 - ZCTA 90201,ZCTA 90201,105275,24633,6.10,0.00,6.10,17253.2,4037.0
8500000US902,902,ZCTA3 902,8600000US90210,90210,ZCTA 902 - ZCTA 90210,ZCTA 90210,21396,9166,9.40,0.05,9.35,2288.1,980.2
8500000US902,902,ZCTA3 902,8600000US90211,90211,ZCTA 902 - ZCTA 90211,ZCTA 90211,8313,3980,0.69,0.00,0.69,12124.9,5805.0
8500000US902,902,ZCTA3 902,8600000US90212,90212,ZCTA 902 - ZCTA 90212,ZCTA 90212,11347,6029,0.91,0.00,0.91,12463.0,6622.0
8500000US902,902,ZCTA3 902,8600000US90220,90220,ZCTA 902 - ZCTA 90220,ZCTA 90220,47303,13065,6.88,0.00,6.88,6878.5,1899.8
8500000US902,902,ZCTA3 902,8600000US90221,90221,ZCTA 902 - ZCTA 90221,ZCTA 90221,51382,11889,5.44,0.00,5.44,9442.8,2184.9
8500000US902,902,ZCTA3 902,8600000US90222,90222,ZCTA 902 - ZCTA 90222,ZCTA 90222,29823,7632,2.78,0.02,2.76,10793.8,2762.2
8500000US902,902,ZCTA3 902,8600000US90230,90230,ZCTA 902 - ZCTA 90230,ZCTA 90230,31945,13288,4.92,0.00,4.92,6494.8,2701.6
8500000US902,902,ZCTA3 902,8600000US90232,90232,ZCTA 902 - ZCTA 90232,ZCTA 90232,15175,6523,2.24,0.00,2.24,6775.7,2912.5
8500000US902,902,ZCTA3 902,8600000US90240,90240,ZCTA 902 - ZCTA 90240,ZCTA 90240,24891,8043,3.26,0.00,3.26,7632.4,2466.3
8500000US902,902,ZCTA3 902,8600000US90241,90241,ZCTA 902 - ZCTA 90241,ZCTA 90241,40138,13921,4.59,0.00,4.59,8748.3,3034.2
8500000US902,902,ZCTA3 902,8600000US90242,90242,ZCTA 902 - ZCTA 90242,ZCTA 90242,42444,12830,4.66,0.00,4.66,9101.3,2751.1
8500000US902,902,ZCTA3 902,8600000US90245,90245,ZCTA 902 - ZCTA 90245,ZCTA 90245,16033,7261,5.39,0.00,5.39,2976.5,1348.0
