Date,RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
2/28/19,81288,53208,WI,Milwaukee-Waukesha-West Allis,Milwaukee County,Milwaukee,2650,135100,0.022710068,0.054644809,0.096590909,0.078471996,0.004708886,2005-12,2005-Q4,146000,-0.074657534,2005-05
2/28/19,81287,53207,WI,Milwaukee-Waukesha-West Allis,Milwaukee County,Milwaukee,1441,169200,0.008944544,0.019277108,0.02607641,0.06140748,0.014648466,2019-02,2019-Q1,169200,0,2019-02
2/28/19,81282,53202,WI,Milwaukee-Waukesha-West Allis,Milwaukee County,Milwaukee,1176,257600,0.010196078,0.024661893,0.029165002,0.046432891,0.011133864,2019-02,2019-Q1,257600,0,2019-02
2/28/19,81277,53191,WI,Whitewater-Elkhorn,Walworth County,Williams Bay,11978,286600,-0.003130435,-0.00967519,0.024303074,0.042100317,0.006544986,2018-09,2018-Q3,293900,-0.02483838,2018-05
2/28/19,81276,53190,WI,Whitewater-Elkhorn,Walworth County,Whitewater,6284,202000,0.002979146,0.014056225,0.114790287,0.048641688,0.016918973,2001-11,2001-Q4,205600,-0.017509728,2001-07
2/28/19,81275,53189,WI,Milwaukee-Waukesha-West Allis,Waukesha County,Waukesha,4356,296300,0.006453804,0.021019986,0.05070922,0.043047489,0.018241406,2019-02,2019-Q1,296300,0,2019-02
2/28/19,81274,53188,WI,Milwaukee-Waukesha-West Allis,Waukesha County,Waukesha,2019,250700,0.004407051,0.014569,0.049393051,0.044662143,0.016191705,2019-02,2019-Q1,250700,0,2019-02
2/28/19,81272,53186,WI,Milwaukee-Waukesha-West Allis,Waukesha County,Waukesha,2280,225100,0.006258382,0.029734675,0.079098754,0.055775652,0.01747205,2019-02,2019-Q1,225100,0,2019-02
2/28/19,81271,53185,WI,Racine,Racine County,Waterford,6107,267200,-0.000374111,-0.013293944,0.020236732,0.047666649,0.017973483,2018-10,2018-Q4,272500,-0.019449541,2018-09
2/28/19,81270,53184,WI,Whitewater-Elkhorn,Walworth County,Walworth,12013,199300,-0.001503006,-0.024951076,0.05171504,0.050076354,0.009066377,2018-11,2018-Q4,204400,-0.024951076,2018-09
2/28/19,81269,53183,WI,Milwaukee-Waukesha-West Allis,Waukesha County,Wales,13126,308900,0.002271252,0.009477124,0.03866846,0.042137645,0.013738438,2019-02,2019-Q1,308900,0,2019-02
2/28/19,81268,53182,WI,Racine,Racine County,Union Grove,9349,243600,0.004122012,0.006195787,0.059591127,0.072710748,0.015973264,2019-02,2019-Q1,243600,0,2019-02
2/28/19,81267,53181,WI,Chicago-Naperville-Elgin,Kenosha County,Twin Lakes,9245,221800,0.002712477,0.016964695,0.057701478,0.071004666,0.019025938,2019-02,2019-Q1,221800,0,2019-02
2/28/19,81266,53179,WI,Chicago-Naperville-Elgin,Kenosha County,Salem,10561,187600,0.004282655,0.017905589,0.106784661,0.075947566,0.014779726,2019-02,2019-Q1,187600,0,2019-02
2/28/19,81265,53178,WI,Watertown-Fort Atkinson,Jefferson County,Sullivan,13333,255600,0.004716981,0.018326693,0.108412836,0.052395862,0.021957078,2019-02,2019-Q1,255600,0,2019-02
2/28/19,81264,53177,WI,Racine,Racine County,Sturtevant,10087,182300,0.006626173,0.03461975,0.131595282,0.06832422,0.015832075,2019-02,2019-Q1,182300,0,2019-02
2/28/19,81262,53172,WI,Milwaukee-Waukesha-West Allis,Milwaukee County,South Milwaukee,5023,163200,0.012406948,0.038167939,0.059052563,0.053602944,0.003688951,2007-01,2007-Q1,167400,-0.025089606,2005-07
2/28/19,81260,53170,WI,Chicago-Naperville-Elgin,Kenosha County,Salem,13879,193500,-0.000516529,0.020031629,0.084033613,0.064897387,0.020088329,2019-01,2019-Q1,193600,-0.000516529,2019-01
2/28/19,81259,53168,WI,Chicago-Naperville-Elgin,Kenosha County,Salem,9204,185700,0.002158662,0.015864333,0.056915196,0.066798821,0.015771774,2019-02,2019-Q1,185700,0,2019-02
2/28/19,81256,53158,WI,Chicago-Naperville-Elgin,Kenosha County,Pleasant Prairie,6464,247600,0.00405515,0.019349527,0.086918349,0.084822506,0.016703961,2019-02,2019-Q1,247600,0,2019-02
2/28/19,81253,53154,WI,Milwaukee-Waukesha-West Allis,Milwaukee County,Oak Creek,1903,243600,0.01120797,0.029150824,0.073600705,0.05430711,0.017054672,2019-02,2019-Q1,243600,0,2019-02
2/28/19,81252,53153,WI,Milwaukee-Waukesha-West Allis,Waukesha County,North Prairie,13992,287600,0.006650333,0.03008596,0.082423786,0.049666808,0.014597646,2019-02,2019-Q1,287600,0,2019-02
2/28/19,81250,53151,WI,Milwaukee-Waukesha-West Allis,Waukesha County,New Berlin,2362,277200,0.005440696,0.017247706,0.058823529,0.05076886,0.020179839,2019-02,2019-Q1,277200,0,2019-02
2/28/19,81249,53150,WI,Milwaukee-Waukesha-West Allis,Waukesha County,Muskego,4450,312500,0.001923693,0.018910988,0.082438517,0.051509044,0.024382536,2019-02,2019-Q1,312500,0,2019-02
2/28/19,81248,53149,WI,Milwaukee-Waukesha-West Allis,Waukesha County,Mukwonago,6007,298000,0.005737428,0.024054983,0.092775944,0.047580183,0.020026621,2019-02,2019-Q1,298000,0,2019-02
2/28/19,81246,53147,WI,Whitewater-Elkhorn,Walworth County,Lake Geneva,5140,221500,-0.001802614,-0.009391771,0.046786389,0.050425288,0.010010609,2018-11,2018-Q4,223600,-0.009391771,2018-10
2/28/19,81245,53146,WI,Milwaukee-Waukesha-West Allis,Waukesha County,New Berlin,9894,266800,0.00263059,0.014063094,0.048330059,0.048743569,0.018506316,2019-02,2019-Q1,266800,0,2019-02
2/28/19,81244,53144,WI,Chicago-Naperville-Elgin,Kenosha County,Kenosha,4338,183100,0.003287671,0.016657413,0.101684717,0.06522516,0.015368253,2019-02,2019-Q1,183100,0,2019-02
2/28/19,81243,53143,WI,Chicago-Naperville-Elgin,Kenosha County,Kenosha,5177,151600,0.00397351,0.019502354,0.106569343,0.10101167,0.009151363,2007-01,2007-Q1,152400,-0.005249344,2006-10
2/28/19,81242,53142,WI,Chicago-Naperville-Elgin,Kenosha County,Kenosha,2972,188400,0.00266099,0.012358947,0.075956596,0.06148716,0.014090467,2019-02,2019-Q1,188400,0,2019-02
2/28/19,81240,53140,WI,Chicago-Naperville-Elgin,Kenosha County,Kenosha,3263,151300,-0.001320132,0.008666667,0.139307229,0.085261942,0.012822802,2019-01,2019-Q1,151500,-0.001320132,2019-01
2/28/19,81239,53139,WI,Racine,Racine County,Eagle Lake,13176,234600,0.004710921,0.031208791,0.079116835,0.078470804,0.016135259,2019-02,2019-Q1,234600,0,2019-02
2/28/19,81237,53137,WI,Watertown-Fort Atkinson,Jefferson County,Helenville,15134,256100,0.004707729,0.021947326,0.15049416,0.055162573,0.022755036,2019-02,2019-Q1,256100,0,2019-02
2/28/19,81236,53132,WI,Milwaukee-Waukesha-West Allis,Milwaukee County,Franklin,2470,272700,0.009626064,0.019820494,0.044427422,0.05095357,0.020920547,2019-02,2019-Q1,272700,0,2019-02
2/28/19,81235,53130,WI,Milwaukee-Waukesha-West Allis,Milwaukee County,Hales Corners,9241,275700,0.010630499,0.029115342,0.052691867,0.040740765,0.018865977,2019-02,2019-Q1,275700,0,2019-02
2/28/19,81234,53129,WI,Milwaukee-Waukesha-West Allis,Milwaukee County,Greendale,6875,240700,0.009224319,0.022080679,0.022514868,0.05111117,0.016630907,2019-02,2019-Q1,240700,0,2019-02
2/28/19,81233,53128,WI,Whitewater-Elkhorn,Walworth County,Pell Lake,9776,165400,-0.008393285,-0.019561352,0.019100431,0.035539458,0.002326967,2008-05,2008-Q2,171400,-0.035005834,2006-08
2/28/19,81231,53126,WI,Racine,Racine County,Caledonia,10255,269400,0.004099888,-0.004802364,0.029029794,0.062878616,0.020231903,2018-10,2018-Q4,271300,-0.007003317,2018-09
2/28/19,81230,53125,WI,Whitewater-Elkhorn,Walworth County,Fontana,12259,393900,-0.004800404,-0.024758604,0.091740576,0.047521147,0.016845724,2018-11,2018-Q4,403900,-0.024758604,2018-09
2/28/19,81229,53122,WI,Milwaukee-Waukesha-West Allis,Waukesha County,Elm Grove,10252,421800,0.008367201,0.027527406,0.096438783,0.053978921,0.026445007,2019-02,2019-Q1,421800,0,2019-02
2/28/19,81228,53121,WI,Whitewater-Elkhorn,Walworth County,Elkhorn,5736,208000,-0.00144023,-0.006685769,0.026147015,0.046647886,0.011296245,2018-10,2018-Q4,209600,-0.007633588,2018-09
2/28/19,81227,53120,WI,Whitewater-Elkhorn,Walworth County,East Troy,8455,254400,-0.003915427,0.002364066,0.053852527,0.056907491,0.0164505,2019-01,2019-Q1,255400,-0.003915427,2018-12
2/28/19,81226,53119,WI,Milwaukee-Waukesha-West Allis,Waukesha County,Eagle,11126,328700,0.006121824,0.031053952,0.128777473,0.061320089,0.023017366,2019-02,2019-Q1,328700,0,2019-02
2/28/19,81225,53118,WI,Milwaukee-Waukesha-West Allis,Waukesha County,Ottawa,9976,343000,0.00912033,0.039079067,0.089926915,0.040977375,0.012912384,2019-02,2019-Q1,343000,0,2019-02
